PING 10.2.0.11 (10.2.0.11) 56(84) bytes of data.
64 bytes from 10.2.0.11: icmp_seq=279 ttl=64 time=0.564 ms
64 bytes from 10.2.0.11: icmp_seq=280 ttl=64 time=0.588 ms
64 bytes from 10.2.0.11: icmp_seq=281 ttl=64 time=0.513 ms
64 bytes from 10.2.0.11: icmp_seq=282 ttl=64 time=0.554 ms
64 bytes from 10.2.0.11: icmp_seq=283 ttl=64 time=0.589 ms
64 bytes from 10.2.0.11: icmp_seq=284 ttl=64 time=0.562 ms
64 bytes from 10.2.0.11: icmp_seq=285 ttl=64 time=0.529 ms
64 bytes from 10.2.0.11: icmp_seq=286 ttl=64 time=0.516 ms
64 bytes from 10.2.0.11: icmp_seq=287 ttl=64 time=0.554 ms
64 bytes from 10.2.0.11: icmp_seq=288 ttl=64 time=0.512 ms
64 bytes from 10.2.0.11: icmp_seq=289 ttl=64 time=0.547 ms
64 bytes from 10.2.0.11: icmp_seq=290 ttl=64 time=0.575 ms
64 bytes from 10.2.0.11: icmp_seq=291 ttl=64 time=0.531 ms
64 bytes from 10.2.0.11: icmp_seq=292 ttl=64 time=0.574 ms
64 bytes from 10.2.0.11: icmp_seq=293 ttl=64 time=0.635 ms
64 bytes from 10.2.0.11: icmp_seq=294 ttl=64 time=0.486 ms
64 bytes from 10.2.0.11: icmp_seq=295 ttl=64 time=0.509 ms

--- 10.2.0.11 ping statistics ---
295 packets transmitted, 295 received, 0% packet loss, time 59958ms
rtt min/avg/max/mdev = 0.444/0.585/2.741/0.189 ms
